Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETSC_SmokeTest,Chrome 75.0.3770.100,,2019-06-23 16:05:30,2019-06-23 16:19:50,14m - 19.212s,FAILED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_NoSmoking,Chrome 75.0.3770.100,,2019-06-23 16:05:31,2019-06-23 16:08:15,2m - 43.481s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 16:05:31,2019-06-23 16:05:36,4.970s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_NoSmoking),Chrome 75.0.3770.100,,2019-06-23 16:05:36,2019-06-23 16:08:14,2m - 37.608s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 16:08:14,2019-06-23 16:08:15,0.709s,PASSED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_Compartmentalization,Chrome 75.0.3770.100,,2019-06-23 16:08:15,2019-06-23 16:10:33,2m - 18.575s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 16:08:15,2019-06-23 16:08:17,2.207s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_Compartmentalization),Chrome 75.0.3770.100,,2019-06-23 16:08:17,2019-06-23 16:10:33,2m - 15.562s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 16:10:33,2019-06-23 16:10:33,0.655s,PASSED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_Verify_UploadedFiles,Chrome 75.0.3770.100,,2019-06-23 16:10:33,2019-06-23 16:11:09,35.811s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 16:10:33,2019-06-23 16:10:35,2.284s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_Verify_UploadedFiles),Chrome 75.0.3770.100,,2019-06-23 16:10:36,2019-06-23 16:11:08,32.658s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 16:11:08,2019-06-23 16:11:09,0.738s,PASSED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_Download_Files,Chrome 75.0.3770.100,,2019-06-23 16:11:09,2019-06-23 16:17:09,6m - 0.462s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 16:11:09,2019-06-23 16:11:11,2.212s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_Download_Files),Chrome 75.0.3770.100,,2019-06-23 16:11:11,2019-06-23 16:17:09,5m - 57.394s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 16:17:09,2019-06-23 16:17:09,0.701s,PASSED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_Delete_UploadedFiles,Chrome 75.0.3770.100,,2019-06-23 16:17:09,2019-06-23 16:18:49,1m - 39.701s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 16:17:09,2019-06-23 16:17:12,2.957s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_Delete_UploadedFiles),Chrome 75.0.3770.100,,2019-06-23 16:17:13,2019-06-23 16:18:49,1m - 35.947s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 16:18:49,2019-06-23 16:18:49,0.620s,PASSED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_NegativeCases,Chrome 75.0.3770.100,,2019-06-23 16:18:49,2019-06-23 16:19:50,1m - 0.391s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 16:18:49,2019-06-23 16:18:52,2.476s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_NegativeCases),Chrome 75.0.3770.100,,2019-06-23 16:18:52,2019-06-23 16:19:49,57.081s,FAILED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 16:19:49,2019-06-23 16:19:50,0.696s,PASSED
