Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SM_SmokeTest,Chrome 75.0.3770.100,,,2019-07-11 15:23:58,2019-07-11 15:27:39,3m - 40.208s,PASSED
,,,,,,,
Test Cases/SiteManagement/TC_SM_AutoSaveAsDraft,Chrome 75.0.3770.100,,,2019-07-11 15:23:59,2019-07-11 15:27:38,3m - 39.751s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-07-11 15:23:59,2019-07-11 15:24:04,5.603s,PASSED
runWithCucumberRunner(siteManagementForm.Runner_SM_AutoSaveDraft),Chrome 75.0.3770.100,,,2019-07-11 15:24:05,2019-07-11 15:27:38,3m - 33.013s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-11 15:27:38,2019-07-11 15:27:38,0.732s,PASSED
