Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GC_SmokeTest,Chrome 74.0.3729.169,,,2019-06-18 17:15:39,2019-06-18 17:17:36,1m - 56.985s,FAILED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_VerifyUploadedFiles_PoweredCleaning,Chrome 74.0.3729.169,,,2019-06-18 17:15:39,2019-06-18 17:16:12,32.617s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,,2019-06-18 17:15:40,2019-06-18 17:15:43,3.969s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_VerifyUploadedFiles_PoweredCleaning),Chrome 74.0.3729.169,,,2019-06-18 17:15:44,2019-06-18 17:16:11,27.468s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,,2019-06-18 17:16:11,2019-06-18 17:16:12,0.886s,PASSED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_DownloadFiles_PoweredCleaning,Chrome 74.0.3729.169,,,2019-06-18 17:16:12,2019-06-18 17:16:57,44.893s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,,2019-06-18 17:16:12,2019-06-18 17:16:14,2.374s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_DownloadFiles_PoweredCleaning),Chrome 74.0.3729.169,,,2019-06-18 17:16:15,2019-06-18 17:16:56,41.609s,FAILED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,,2019-06-18 17:16:56,2019-06-18 17:16:57,0.736s,PASSED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_DeleteUploadedFiles_PoweredCleaning,Chrome 74.0.3729.169,,,2019-06-18 17:16:57,2019-06-18 17:17:36,39.182s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,,2019-06-18 17:16:57,2019-06-18 17:16:59,2.271s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_DeleteUploadedFiles_PoweredCleaning),Chrome 74.0.3729.169,,,2019-06-18 17:16:59,2019-06-18 17:17:35,36.019s,PASSED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,,2019-06-18 17:17:35,2019-06-18 17:17:36,0.755s,PASSED
