Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETSC_SmokeTest,Chrome 75.0.3770.100,,2019-06-23 17:01:11,2019-06-23 17:02:33,1m - 22.013s,PASSED
,,,,,,
Test Cases/EnvironmentalTobaccoSmokeControl/TC_ETSC_NegativeCases,Chrome 75.0.3770.100,,2019-06-23 17:01:11,2019-06-23 17:02:33,1m - 21.326s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,2019-06-23 17:01:11,2019-06-23 17:01:15,4.065s,PASSED
runWithCucumberRunner(environmentalTobaccoSmokeControl.Runner_ETSC_NegativeCases),Chrome 75.0.3770.100,,2019-06-23 17:01:16,2019-06-23 17:02:32,1m - 16.364s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,2019-06-23 17:02:32,2019-06-23 17:02:33,0.659s,PASSED
