Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GC_SmokeTest,Chrome 74.0.3729.169,,,2019-06-20 19:26:02,2019-06-20 19:29:47,3m - 44.890s,FAILED
,,,,,,,
Test Cases/GreenCleaning/TC_GC_AutoSaveAsDraft,Chrome 74.0.3729.169,,,2019-06-20 19:26:02,2019-06-20 19:29:47,3m - 44.571s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 74.0.3729.169,,,2019-06-20 19:26:03,2019-06-20 19:26:07,4.695s,PASSED
runWithCucumberRunner(greenCleaningForm.Runner_GC_AutoSaveAsDraft),Chrome 74.0.3729.169,,,2019-06-20 19:26:07,2019-06-20 19:29:46,3m - 38.694s,FAILED
Start listener action : sampleAfterTestCase,Chrome 74.0.3729.169,,,2019-06-20 19:29:46,2019-06-20 19:29:47,0.848s,PASSED
